transaction_id,payment_date,invoice_number,po_number,vendor_id,vendor_name,amount,category,plant_code,cost_center,related_party,days_overdue,payment_frequency,previous_avg_amount
T100028,2025-04-13,INV-212442,PO-830314,V1109,Vendor_109,50000.0,Services,P008,CC0110,0,5,Ad-hoc,58828.03117036922
T100029,2025-01-28,INV-944811,PO-307457,V1088,Vendor_088,50000.0,IT Services,P001,CC0141,1,77,Monthly,60945.95651144226
T100030,2025-02-02,INV-537958,PO-880160,V1090,Vendor_090,57101.04499047521,Utilities,P009,CC0199,0,57,Ad-hoc,73425.69009369121
T100031,2024-08-23,INV-467179,PO-573678,V1045,Vendor_045,50000.0,Utilities,P004,CC0164,0,84,Ad-hoc,59256.48074057475
T100032,2024-05-17,INV-888206,PO-625935,V1018,Vendor_018,76897.77816030756,Maintenance,P003,CC0185,0,14,Monthly,59538.944502151666
T100033,2025-04-19,INV-799891,PO-203471,V1110,Vendor_110,71571.6571420332,Raw Material,P006,CC0132,0,6,Quarterly,90772.71567023746
T100034,2025-12-19,INV-478412,PO-500447,V1177,Vendor_177,50000.0,Raw Material,P009,CC0173,0,36,Monthly,59449.76158411351
T100035,2024-04-26,INV-976222,PO-372195,V1012,Vendor_012,108924.29237783513,Utilities,P009,CC0173,0,35,Ad-hoc,90123.42694691599
T100036,2025-11-27,INV-577611,PO-179102,V1171,Vendor_171,63016.70739141871,Utilities,P002,CC0118,0,92,One-off,50357.812925222424
T100037,2025-11-05,INV-737468,PO-865813,V1165,Vendor_165,383535.50975587475,Packaging,P010,CC0122,0,14,Ad-hoc,63092.42451201145
T100038,2024-09-29,INV-972676,PO-216224,V1055,Vendor_055,58356.64837586052,Utilities,P008,CC0143,0,114,Monthly,46301.28384886155
T100039,2025-06-15,INV-750705,PO-744803,V1126,Vendor_126,68913.2142861412,Packaging,P010,CC0163,0,-8,One-off,80370.86527300815
T100040,2024-07-09,INV-631822,PO-770539,V1033,Vendor_033,97381.95258412267,Packaging,P010,CC0170,0,64,Monthly,91846.32929864495
T100041,2025-09-15,INV-654310,PO-650802,V1151,Vendor_151,50577.48513452252,IT Services,P006,CC0197,0,58,Quarterly,57369.18962761524
T100042,2025-08-04,INV-688671,PO-856261,V1140,Vendor_140,90578.22615421074,Raw Material,P001,CC0110,1,37,One-off,68396.59935913417
T100043,2024-11-24,INV-979907,PO-202499,V1070,Vendor_070,65747.1099134598,Services,P001,CC0164,0,4,Ad-hoc,74625.26910198553
T100044,2024-04-29,INV-730977,PO-114516,V1013,Vendor_013,50000.0,Maintenance,P007,CC0195,0,0,Ad-hoc,50357.34131957241
T100045,2026-02-17,INV-369825,PO-865627,V1194,Vendor_194,50000.0,Utilities,P001,CC0116,0,25,Quarterly,62011.351560165436
T100046,2025-01-30,INV-119785,PO-264919,V1089,Vendor_089,104954.26208776845,Services,P007,CC0195,0,42,Quarterly,85331.91357764369
T100047,2025-12-22,INV-804688,PO-368298,V1178,Vendor_178,108878.96040408286,Logistics,P002,CC0184,0,14,One-off,83359.21793312959
T100048,2025-07-18,INV-539334,PO-720850,V1135,Vendor_135,70365.23612927138,Raw Material,P009,CC0115,0,95,Ad-hoc,57539.917872236176
T100049,2025-09-30,INV-473569,PO-581484,V1155,Vendor_155,126481.75665581721,Raw Material,P003,CC0121,0,116,Monthly,94500.23994681858
T100050,2025-09-16,INV-941619,PO-280824,V1151,Vendor_151,101549.83320550826,Utilities,P002,CC0119,0,88,Monthly,130805.35760833505
T100051,2024-07-31,INV-239877,PO-310126,V1038,Vendor_038,84272.79410020393,Services,P004,CC0109,0,97,Monthly,65203.03855370295
T100052,2024-12-01,INV-133774,PO-852475,V1072,Vendor_072,50000.0,Logistics,P010,CC0136,0,36,Monthly,41025.528367840816
T100053,2025-02-14,INV-765434,PO-568662,V1093,Vendor_093,534774.6743113874,Logistics,P006,CC0144,0,101,One-off,168744.61250200195
T100054,2025-03-09,INV-931752,PO-930197,V1099,Vendor_099,78288.08631845731,Raw Material,P010,CC0145,0,12,Quarterly,66392.41808101627
T100055,2024-04-11,INV-846460,PO-605925,V1008,Vendor_008,50000.0,Raw Material,P003,CC0183,0,68,Monthly,41668.800205716136
T100056,2025-04-13,INV-883951,PO-697068,V1109,Vendor_109,50000.0,Logistics,P007,CC0144,0,60,Ad-hoc,55169.29341223054
T100057,2024-07-01,INV-877238,PO-406421,V1030,Vendor_030,68076.80899564426,IT Services,P002,CC0119,0,52,One-off,63941.76495300476
T100058,2025-09-04,INV-717010,PO-126910,V1148,Vendor_148,50000.0,Logistics,P005,CC0168,0,98,One-off,60064.37461400937
T100059,2025-07-22,INV-929689,PO-555328,V1136,Vendor_136,84951.57248801494,Raw Material,P004,CC0164,0,33,Quarterly,91999.29149257079
T100060,2026-01-13,INV-407149,PO-757245,V1184,Vendor_184,50000.0,Utilities,P007,CC0147,1,63,One-off,43646.44151253431
T100061,2025-09-05,INV-770419,PO-465446,V1148,Vendor_148,72063.57931702261,Raw Material,P007,CC0164,0,50,Quarterly,76297.60036078421
T100062,2024-12-03,INV-182876,PO-874053,V1073,Vendor_073,50000.0,Logistics,P001,CC0118,0,60,Quarterly,60993.848646436774
T100063,2026-02-15,INV-574856,PO-727745,V1193,Vendor_193,52459.18111716373,Maintenance,P007,CC0177,0,34,Quarterly,48193.713367059594
T100064,2025-01-04,INV-361585,PO-555690,V1082,Vendor_082,50000.0,Raw Material,P008,CC0126,0,81,Quarterly,57094.121645727006
T100065,2024-11-03,INV-944824,PO-589501,V1065,Vendor_065,55236.83356195908,IT Services,P004,CC0104,0,66,Ad-hoc,52447.3617693711
T100066,2026-01-01,INV-492536,PO-304615,V1181,Vendor_181,153997.21133363733,Utilities,P001,CC0141,0,6,Quarterly,157977.12121796943
T100067,2024-12-06,INV-288608,PO-890267,V1074,Vendor_074,119674.37760349106,IT Services,P005,CC0124,1,47,Ad-hoc,136455.12082709456
T100068,2024-05-05,INV-612415,PO-153562,V1015,Vendor_015,71484.75416597138,Maintenance,P004,CC0151,0,70,Ad-hoc,52635.39847121795
T100069,2025-02-16,INV-169578,PO-144677,V1093,Vendor_093,59121.673805216386,IT Services,P008,CC0146,0,2,Monthly,57523.59801828615
T100070,2025-10-12,INV-214102,PO-805732,V1159,Vendor_159,995533.1114337738,Services,P002,CC0192,0,0,Ad-hoc,69139.24466976307
T100071,2024-07-27,INV-488462,PO-123974,V1037,Vendor_037,105343.8664720444,Raw Material,P003,CC0141,0,60,Quarterly,119565.63889144712
T100072,2025-02-11,INV-667808,PO-558428,V1092,Vendor_092,50000.0,Raw Material,P008,CC0109,0,10,Monthly,53234.18795555417
T100073,2024-06-13,INV-623996,PO-269694,V1025,Vendor_025,57600.15664340814,Packaging,P010,CC0151,0,64,Ad-hoc,51618.8294402649
T100074,2025-07-25,INV-149860,PO-712948,V1137,Vendor_137,50000.0,Raw Material,P006,CC0180,0,-4,Quarterly,37288.445401785066
T100075,2025-02-21,INV-711989,PO-206718,V1095,Vendor_095,104982.72115089637,Maintenance,P001,CC0126,0,101,Quarterly,131803.86183288755
T100076,2024-11-07,INV-151898,PO-338235,V1066,Vendor_066,168133.25505814448,IT Services,P007,CC0131,0,69,Monthly,149470.83907536385
T100077,2024-08-23,INV-833878,PO-573305,V1045,Vendor_045,62320.22633212498,Utilities,P001,CC0118,0,72,One-off,53921.08428887311
T100078,2025-04-27,INV-135217,PO-440002,V1112,Vendor_112,50000.0,Packaging,P001,CC0172,0,115,Quarterly,38030.149127527504
T100079,2025-07-12,INV-124080,PO-280120,V1133,Vendor_133,81181.71030978322,IT Services,P007,CC0116,0,71,Ad-hoc,84949.50979722962
T100080,2026-01-26,INV-565839,PO-156044,V1188,Vendor_188,50000.0,Logistics,P004,CC0125,0,9,Ad-hoc,42969.6036616884
T100081,2025-01-24,INV-821840,PO-114443,V1087,Vendor_087,50000.0,IT Services,P001,CC0108,0,106,One-off,60285.592466353344
T100082,2024-07-06,INV-788530,PO-272755,V1032,Vendor_032,81902.77850908085,Utilities,P005,CC0138,0,51,Monthly,90884.24294800335
T100083,2025-11-08,INV-640115,PO-354359,V1166,Vendor_166,68000.95735141118,Services,P004,CC0186,0,77,Quarterly,47760.40055177597
T100084,2025-06-13,INV-260669,PO-207899,V1125,Vendor_125,50000.0,Maintenance,P007,CC0144,0,106,One-off,51970.23834998086
T100085,2025-08-04,INV-957651,PO-558282,V1140,Vendor_140,50000.0,Utilities,P010,CC0111,0,51,Ad-hoc,41955.04030459187
T100086,2024-05-20,INV-118490,PO-897084,V1019,Vendor_019,63762.340936941866,IT Services,P002,CC0175,0,100,Quarterly,45221.54478371819
T100087,2024-10-25,INV-413107,PO-742828,V1062,Vendor_062,50000.0,Utilities,P007,CC0135,0,113,Ad-hoc,53581.01488962338
T100088,2025-09-22,INV-778685,PO-376304,V1153,Vendor_153,50000.0,Logistics,P007,CC0116,1,45,Monthly,41147.430806162796
T100089,2025-11-08,INV-655279,PO-494554,V1166,Vendor_166,50701.88707297227,Raw Material,P010,CC0101,0,-7,Quarterly,62859.260896910935
T100090,2025-01-22,INV-811377,PO-792497,V1087,Vendor_087,365371.81539989397,IT Services,P004,CC0134,1,86,Monthly,74078.67969544102
T100091,2025-10-19,INV-789892,PO-966441,V1160,Vendor_160,54772.75986478865,Maintenance,P002,CC0115,0,94,One-off,45215.51937454306
T100092,2025-11-15,INV-945678,PO-596249,V1168,Vendor_168,50000.0,Raw Material,P010,CC0152,0,-5,One-off,64373.823190617244
T100093,2024-12-18,INV-564755,PO-279507,V1077,Vendor_077,98177.49674388765,Utilities,P001,CC0143,0,113,One-off,100913.20679673394
T100094,2025-12-26,INV-838851,PO-880704,V1179,Vendor_179,50000.0,Maintenance,P005,CC0165,0,88,Ad-hoc,39964.16516379125
T100095,2024-10-07,INV-240316,PO-562655,V1057,Vendor_057,50000.0,Utilities,P007,CC0127,0,15,One-off,50517.26510507222
T100096,2024-09-01,INV-256660,PO-126716,V1047,Vendor_047,50000.0,Packaging,P002,CC0107,0,84,Ad-hoc,63780.47174669298
T100097,2025-07-22,INV-144819,PO-327865,V1136,Vendor_136,64478.64991610942,Raw Material,P003,CC0111,0,79,Quarterly,61546.55672046102
T100098,2025-06-18,INV-284063,PO-579389,V1127,Vendor_127,79287.11450187844,IT Services,P002,CC0109,0,65,Quarterly,75735.63113398982
T100099,2024-06-21,INV-200260,PO-826000,V1027,Vendor_027,105175.15730739884,Logistics,P009,CC0126,0,64,Quarterly,102722.05544436222
T100100,2025-11-08,INV-841818,PO-866864,V1166,Vendor_166,4996154.532386373,IT Services,P003,CC0171,0,4,Quarterly,43403.10653463466
T100101,2024-08-03,INV-545413,PO-268982,V1039,Vendor_039,80281.23357240649,Services,P007,CC0154,0,112,Ad-hoc,63989.77631685167
T100102,2025-10-19,INV-499776,PO-750532,V1160,Vendor_160,66032.95363762073,Maintenance,P003,CC0136,0,28,One-off,69160.05126397143
T100103,2024-03-16,INV-675647,PO-965440,V1001,Vendor_001,50000.0,Packaging,P007,CC0123,0,27,Quarterly,61826.00590152655
T100104,2025-10-13,INV-423604,PO-818941,V1159,Vendor_159,154858.9726275319,Utilities,P008,CC0116,1,12,Ad-hoc,176761.89201669616
T100105,2025-10-06,INV-613468,PO-744945,V1157,Vendor_157,50000.0,Services,P001,CC0114,0,16,Quarterly,37885.622229126544
T100106,2025-10-01,INV-103176,PO-816358,V1156,Vendor_156,73846.85023139742,Packaging,P008,CC0126,0,-3,One-off,69453.65574208272
T100107,2025-07-09,INV-741623,PO-601178,V1132,Vendor_132,72764.24490342701,Utilities,P007,CC0149,0,97,One-off,51166.18185385276
T100108,2025-02-18,INV-884353,PO-645857,V1094,Vendor_094,68721.56920519585,Services,P001,CC0159,0,106,Quarterly,60802.38636752515
T100109,2025-08-07,INV-135095,PO-579112,V1141,Vendor_141,50000.0,Utilities,P003,CC0194,0,-4,Quarterly,55081.29777842258
T100110,2024-09-29,INV-172465,PO-960056,V1055,Vendor_055,90547.18052142081,Raw Material,P009,CC0195,0,13,Quarterly,79150.964001454
T100111,2025-10-01,INV-222706,PO-426222,V1156,Vendor_156,50000.0,Raw Material,P005,CC0126,0,47,One-off,60216.74957285499
T100112,2025-04-20,INV-647262,PO-799045,V1111,Vendor_111,57935.50022638327,Utilities,P001,CC0173,0,16,Monthly,57149.34608546411
T100113,2025-02-09,INV-785025,PO-118923,V1091,Vendor_091,50000.0,IT Services,P007,CC0113,0,15,Monthly,55075.04488519828
T100114,2025-03-15,INV-840638,PO-476771,V1101,Vendor_101,50000.0,Raw Material,P008,CC0179,0,81,Monthly,61515.956698444505
T100115,2025-04-30,INV-803063,PO-923610,V1113,Vendor_113,74189.20205695122,Raw Material,P005,CC0192,0,104,Quarterly,82326.7326128426
T100116,2024-04-07,INV-619394,PO-318976,V1007,Vendor_007,102614.98681362782,Packaging,P002,CC0160,0,31,Quarterly,127077.96074170539
T100117,2024-06-21,INV-732063,PO-815442,V1027,Vendor_027,50431.543383881224,Raw Material,P002,CC0153,0,57,Monthly,59753.27020133189
T100118,2024-09-06,INV-351943,PO-552214,V1049,Vendor_049,88463.07789014399,Packaging,P004,CC0137,0,42,Quarterly,92022.7036285246
T100119,2024-06-02,INV-770886,PO-221372,V1022,Vendor_022,61381.90308869342,Utilities,P005,CC0188,0,38,Quarterly,53914.17216610011
T100120,2025-01-25,INV-264626,PO-195800,V1087,Vendor_087,50000.0,Maintenance,P008,CC0196,0,-3,Quarterly,43944.272139540684
T100121,2025-07-11,INV-967095,PO-209871,V1133,Vendor_133,52629.072406089865,Utilities,P007,CC0170,0,81,Monthly,64481.06866873709
T100122,2025-07-01,INV-137584,PO-518888,V1130,Vendor_130,51547.40014951298,Logistics,P003,CC0108,0,110,One-off,37749.73527590639
T100123,2025-02-17,INV-949795,PO-377290,V1094,Vendor_094,50000.0,Packaging,P007,CC0187,1,88,Ad-hoc,63243.10544290472
T100124,2025-11-25,INV-514501,PO-905158,V1171,Vendor_171,74179.3778760407,Services,P002,CC0180,0,119,Ad-hoc,66482.22001713923
T100125,2025-04-27,INV-680033,PO-786824,V1113,Vendor_113,67327.43560487407,IT Services,P002,CC0135,0,96,Monthly,76976.98114334712
T100126,2024-05-07,INV-243828,PO-228743,V1015,Vendor_015,50000.0,Packaging,P008,CC0125,0,37,Quarterly,44900.89257912345
T100127,2025-09-20,INV-387400,PO-552848,V1152,Vendor_152,50000.0,Services,P010,CC0176,0,96,Monthly,63599.04167699481
T100128,2025-05-04,INV-876023,PO-789178,V1114,Vendor_114,74038.62730486436,Logistics,P007,CC0160,0,18,Ad-hoc,53447.331388453174
T100129,2025-06-17,INV-112698,PO-688788,V1126,Vendor_126,50000.0,Logistics,P005,CC0175,0,41,One-off,45599.566299209495
T100130,2025-04-27,INV-272498,PO-108439,V1113,Vendor_113,69634.85962036635,Services,P009,CC0198,0,81,Monthly,84987.71867578334
T100131,2025-04-19,INV-668446,PO-105574,V1110,Vendor_110,88474.15806183236,Packaging,P004,CC0136,0,27,Quarterly,76480.06358017266
T100132,2024-05-16,INV-823778,PO-625398,V1018,Vendor_018,50000.0,Packaging,P007,CC0184,0,88,Quarterly,43268.584297798276
T100133,2025-04-23,INV-488173,PO-931333,V1111,Vendor_111,50000.0,Raw Material,P007,CC0146,0,14,Monthly,61962.5544820585
T100134,2025-10-12,INV-178780,PO-145460,V1158,Vendor_158,20187291.432968613,Utilities,P001,CC0185,1,9,Quarterly,165737.56970333066
T100135,2024-10-18,INV-232324,PO-249117,V1060,Vendor_060,71380.8847204014,IT Services,P010,CC0124,0,87,Monthly,54496.644203195356
T100136,2025-05-25,INV-901304,PO-269785,V1120,Vendor_120,50000.0,Services,P007,CC0182,0,53,Monthly,52405.3972960804
T100137,2024-04-02,INV-293731,PO-387010,V1006,Vendor_006,50000.0,Utilities,P003,CC0170,0,111,Ad-hoc,41701.855650197765
T100138,2024-11-19,INV-620784,PO-901323,V1069,Vendor_069,50000.0,IT Services,P009,CC0145,0,15,One-off,41454.14815294574
T100139,2025-01-23,INV-942875,PO-952434,V1087,Vendor_087,50000.0,Maintenance,P004,CC0191,0,82,Quarterly,53462.11960710687
T100140,2026-02-26,INV-438043,PO-375856,V1196,Vendor_196,93125.75723629854,Packaging,P001,CC0139,0,20,Quarterly,72109.10826570245
T100141,2024-08-14,INV-159600,PO-759603,V1042,Vendor_042,50000.0,Maintenance,P007,CC0174,0,51,Quarterly,49093.37003008928
T100142,2024-09-28,INV-831713,PO-109034,V1055,Vendor_055,103442.097852991,Logistics,P002,CC0151,1,54,Ad-hoc,88287.11061821932
T100143,2025-01-03,INV-808722,PO-559959,V1081,Vendor_081,50000.0,IT Services,P006,CC0114,0,100,Ad-hoc,60617.674177320725
T100144,2026-03-05,INV-685960,PO-665011,V1198,Vendor_198,50000.0,IT Services,P007,CC0128,0,41,Monthly,51634.826971043956
T100145,2025-11-23,INV-911843,PO-876623,V1170,Vendor_170,50000.0,Raw Material,P002,CC0180,0,37,Monthly,41453.26493784846
T100146,2024-04-05,INV-798202,PO-839578,V1006,Vendor_006,50000.0,IT Services,P008,CC0147,0,51,Ad-hoc,62793.969581654164
T100147,2024-08-28,INV-719512,PO-155136,V1046,Vendor_046,56365.678310883195,Packaging,P005,CC0185,0,117,Quarterly,67285.84748724756
T100148,2025-10-31,INV-400123,PO-471787,V1164,Vendor_164,54991.857314934154,Services,P004,CC0112,0,39,Ad-hoc,47247.647607879684
T100149,2024-04-22,INV-155207,PO-168663,V1011,Vendor_011,90433.61940110338,Maintenance,P002,CC0176,0,61,Ad-hoc,115450.32079363753
T100150,2025-11-25,INV-753336,PO-108558,V1171,Vendor_171,50000.0,Raw Material,P008,CC0189,0,-1,Ad-hoc,43032.16751426138
T100151,2024-10-02,INV-861266,PO-239644,V1056,Vendor_056,107037.35668730106,Raw Material,P002,CC0199,0,68,Ad-hoc,93720.39742308728
T100152,2026-01-09,INV-725578,PO-939727,V1183,Vendor_183,90246.45967960052,Logistics,P002,CC0173,0,-1,One-off,84071.61755096207
T100153,2024-10-11,INV-687959,PO-338113,V1058,Vendor_058,111973.97775956585,Utilities,P003,CC0147,0,-9,Quarterly,89454.12208560015
T100154,2025-01-22,INV-746485,PO-765595,V1086,Vendor_086,58316.439399490446,Utilities,P005,CC0106,0,24,Quarterly,64860.10859147234
T100155,2025-07-07,INV-349329,PO-738125,V1132,Vendor_132,99404.07790967355,IT Services,P009,CC0120,0,14,Quarterly,102823.81631190456
T100156,2024-06-11,INV-205243,PO-880742,V1025,Vendor_025,50000.0,Packaging,P008,CC0165,0,57,Ad-hoc,61833.874446557704
T100157,2025-04-21,INV-666689,PO-579175,V1111,Vendor_111,85521.55963419503,Utilities,P008,CC0188,0,17,Monthly,72225.10672865463
T100158,2025-03-14,INV-948779,PO-977665,V1101,Vendor_101,50000.0,Packaging,P002,CC0175,0,17,Monthly,40106.92659797598
T100159,2025-10-04,INV-222888,PO-483439,V1156,Vendor_156,50000.0,Services,P007,CC0160,0,105,One-off,45758.70178038589
T100160,2026-03-08,INV-164086,PO-808787,V1199,Vendor_199,50000.0,Services,P004,CC0186,1,71,One-off,39383.26050524266
T100161,2025-07-08,INV-736882,PO-804328,V1132,Vendor_132,60039.95698539228,Services,P005,CC0130,0,-9,One-off,76112.09010945937
T100162,2025-01-03,INV-480382,PO-589139,V1081,Vendor_081,50000.0,Packaging,P007,CC0132,0,89,Quarterly,56523.40090608226
T100163,2025-01-01,INV-912695,PO-385444,V1081,Vendor_081,72260.77760461328,Packaging,P002,CC0108,0,84,Monthly,85102.60117558065
T100164,2025-01-10,INV-524655,PO-243003,V1083,Vendor_083,50000.0,IT Services,P004,CC0163,0,105,Monthly,57441.30870116264
T100165,2025-10-26,INV-569512,PO-176911,V1162,Vendor_162,50000.0,IT Services,P004,CC0118,0,60,Ad-hoc,42284.5752431806
T100166,2024-10-31,INV-155625,PO-549354,V1064,Vendor_064,118918.506369394,Raw Material,P009,CC0127,0,112,Quarterly,93278.96084116002
T100167,2024-07-10,INV-956894,PO-457089,V1033,Vendor_033,94079.93429156522,Packaging,P010,CC0109,0,112,One-off,90096.60396736789
T100168,2024-11-10,INV-397819,PO-288267,V1066,Vendor_066,50000.0,IT Services,P010,CC0184,0,37,Ad-hoc,59870.57365323444
T100169,2024-03-27,INV-494285,PO-789769,V1004,Vendor_004,469661.8138438145,Raw Material,P006,CC0120,0,0,Quarterly,53704.88398871029
T100170,2024-05-27,INV-666225,PO-246319,V1021,Vendor_021,99683.30904011606,Services,P007,CC0187,0,112,Monthly,70350.27576336793
T100171,2024-05-15,INV-871809,PO-526676,V1018,Vendor_018,73835.8971920665,Logistics,P008,CC0123,0,75,Monthly,80926.83251986504
T100172,2025-09-25,INV-815587,PO-485902,V1154,Vendor_154,64480.07550040028,IT Services,P008,CC0107,0,103,Ad-hoc,52876.10199835256
T100173,2025-08-20,INV-796282,PO-979432,V1144,Vendor_144,103525.89365676508,Maintenance,P007,CC0197,0,-1,Monthly,106186.6227366814
T100174,2025-08-01,INV-195001,PO-193907,V1139,Vendor_139,50000.0,Maintenance,P010,CC0128,0,31,Quarterly,35446.40150076857
T100175,2025-02-11,INV-179586,PO-870513,V1092,Vendor_092,60814.84652014837,Raw Material,P004,CC0172,0,-10,Monthly,61137.76808695939
T100176,2025-08-16,INV-848142,PO-716071,V1143,Vendor_143,59342.18298126596,Packaging,P008,CC0110,0,38,Quarterly,55554.080158112236
T100177,2024-07-06,INV-921386,PO-811857,V1032,Vendor_032,52240.79469211249,Maintenance,P007,CC0118,0,87,Ad-hoc,64164.609398341585
T100178,2025-12-28,INV-661363,PO-800072,V1180,Vendor_180,50000.0,Packaging,P008,CC0139,0,11,One-off,56654.4139833209
T100179,2025-03-11,INV-919383,PO-795861,V1100,Vendor_100,62095.83018664612,Services,P010,CC0175,0,38,One-off,44809.40004392531
T100180,2026-01-24,INV-385799,PO-491648,V1187,Vendor_187,60913.11283406031,Raw Material,P001,CC0100,0,102,Quarterly,71494.53908272936
T100181,2024-06-30,INV-416273,PO-623011,V1030,Vendor_030,50000.0,Raw Material,P009,CC0163,0,29,Monthly,58736.82363126982
T100182,2025-03-09,INV-253057,PO-428375,V1099,Vendor_099,89401.96626632527,Maintenance,P009,CC0178,0,58,Ad-hoc,98167.44722292881
T100183,2025-08-01,INV-814094,PO-911033,V1139,Vendor_139,50000.0,Packaging,P009,CC0110,0,46,Monthly,62878.902077109866
T100184,2025-03-07,INV-702467,PO-303076,V1099,Vendor_099,53684.69753194832,Packaging,P003,CC0143,1,16,One-off,63452.74187690003
T100185,2025-01-30,INV-302173,PO-630884,V1089,Vendor_089,51655.90336895051,Maintenance,P006,CC0194,0,110,Monthly,42943.57731802787
T100186,2024-07-10,INV-999301,PO-289943,V1033,Vendor_033,71614.42551505602,Maintenance,P001,CC0153,0,95,Ad-hoc,66524.6114787295
T100187,2024-12-14,INV-127353,PO-435282,V1076,Vendor_076,50000.0,Packaging,P001,CC0175,0,40,Ad-hoc,45497.696673091195
T100188,2024-09-01,INV-793261,PO-966887,V1047,Vendor_047,93475.52417369444,IT Services,P006,CC0174,0,100,Monthly,93750.78060222734
T100189,2024-10-17,INV-287143,PO-276311,V1060,Vendor_060,50000.0,IT Services,P010,CC0141,0,54,Quarterly,63611.408605929064
T100190,2025-07-23,INV-805588,PO-897374,V1136,Vendor_136,110192.2280540451,Logistics,P003,CC0171,0,73,Ad-hoc,117835.0531212512
T100191,2025-06-14,INV-535588,PO-831784,V1126,Vendor_126,50000.0,Services,P008,CC0194,0,28,Monthly,44388.171782603866
